iteration,best_fitness,mean_fitness,global_best_fitness,feasible_count,population_size
1,1200.349838532595,16695.41990079919,1200.349838532595,0,20
2,200.3628268918445,11565.402496861945,200.3628268918445,0,20
3,200.3628268918445,4615.394964542279,200.3628268918445,0,20
4,100.37406671208444,3990.3896184499367,100.37406671208444,0,20
5,100.37406671208444,2715.3901272108483,100.37406671208444,0,20
6,0.33491197309005827,4000.401930946685,0.33491197309005827,1,20
7,0.33491197309005827,5795.397920654012,0.33491197309005827,1,20
8,0.3197730080257668,4505.389079593222,0.3197730080257668,3,20
9,0.3062544918721156,1075.360194395274,0.3062544918721156,7,20
10,0.3062544918721156,1330.3586302967103,0.3062544918721156,8,20
11,0.30524431302546723,2310.3541789874043,0.30524431302546723,7,20
12,0.30524431302546723,1390.356932037533,0.30524431302546723,6,20
13,0.30524431302546723,1245.333774191336,0.30524431302546723,9,20
14,0.3023911162365607,1250.3452293906444,0.3023911162365607,7,20
15,0.3023911162365607,1525.3334714833436,0.3023911162365607,7,20
16,0.2986904446412822,1125.3239799633177,0.2986904446412822,9,20
17,0.28912518812847976,255.3202062193317,0.28912518812847976,12,20
18,0.28826739827311965,870.3148716846354,0.28826739827311965,10,20
19,0.28826739827311965,1470.311764088423,0.28826739827311965,11,20
20,0.28826739827311965,3640.3213957829066,0.28826739827311965,9,20
21,0.2865459831538479,470.31854346421335,0.2865459831538479,10,20
22,0.2816488849234624,1285.3088450267555,0.2816488849234624,13,20
23,0.2764964086411242,210.31117975960592,0.2764964086411242,12,20
24,0.2764964086411242,205.30123625686082,0.2764964086411242,14,20
25,0.2764964086411242,195.2964373920537,0.2764964086411242,14,20
26,0.27428155270046883,450.2946686389526,0.27428155270046883,12,20
27,0.2717717125173422,100.28915932155078,0.2717717125173422,16,20
28,0.26732453830243774,1700.2837764297972,0.26732453830243774,12,20
29,0.26732453830243774,340.2837387119522,0.26732453830243774,11,20
30,0.2629411592002189,215.29303994426454,0.2629411592002189,12,20
31,0.2629411592002189,340.2864609131556,0.2629411592002189,12,20
32,0.2629411592002189,235.28324009968256,0.2629411592002189,13,20
33,0.2620626875058339,1250.2932703210051,0.2620626875058339,9,20
34,0.2620626875058339,455.28737119583565,0.2620626875058339,8,20
35,0.26012025163367425,205.28040026076366,0.26012025163367425,10,20
36,0.25210515791315335,665.2806041318338,0.25210515791315335,11,20
37,0.25210515791315335,265.2811179269077,0.25210515791315335,11,20
38,0.25210515791315335,155.2774593415475,0.25210515791315335,13,20
39,0.25210515791315335,460.2783795278336,0.25210515791315335,11,20
40,0.25210515791315335,160.27617982370595,0.25210515791315335,15,20
41,0.2506595103623946,40.267059735572296,0.2506595103623946,14,20
42,0.2506595103623946,2215.2737113223784,0.2506595103623946,9,20
43,0.2506595103623946,235.27285239629538,0.2506595103623946,12,20
44,0.2476651020677741,270.2662678307386,0.2476651020677741,13,20
45,0.2476651020677741,170.26858699112262,0.2476651020677741,12,20
46,0.2476651020677741,325.26395637599404,0.2476651020677741,14,20
47,0.2476651020677741,100.26071934984745,0.2476651020677741,13,20
48,0.2476651020677741,505.2638170280831,0.2476651020677741,14,20
49,0.2476651020677741,130.26575300810296,0.2476651020677741,13,20
50,0.24557953542474098,3275.265761957062,0.24557953542474098,11,20
51,0.2445533688234543,780.2636874879623,0.2445533688234543,14,20
52,0.242706926826195,170.26519605049276,0.242706926826195,12,20
53,0.242706926826195,420.2670016922716,0.242706926826195,13,20
54,0.242706926826195,530.2659860500494,0.242706926826195,10,20
55,0.242706926826195,125.26175882364423,0.242706926826195,15,20
56,0.242706926826195,765.264797669544,0.242706926826195,11,20
57,0.242706926826195,115.26458888267184,0.242706926826195,16,20
58,0.242706926826195,100.2551146514952,0.242706926826195,14,20
59,0.242706926826195,170.25245210150618,0.242706926826195,13,20
60,0.24031314744590282,580.2530872230325,0.24031314744590282,12,20
61,0.24031314744590282,430.25683733127335,0.24031314744590282,14,20
62,0.24031314744590282,895.2608841396698,0.24031314744590282,12,20
63,0.24031314744590282,75.25918846106028,0.24031314744590282,15,20
64,0.24031314744590282,100.25736942070233,0.24031314744590282,11,20
65,0.23710720306068295,1365.2622047627735,0.23710720306068295,13,20
66,0.23710720306068295,145.25316931015726,0.23710720306068295,12,20
67,0.23710720306068295,355.25641777587737,0.23710720306068295,12,20
68,0.23710720306068295,335.25649577594083,0.23710720306068295,15,20
69,0.23710720306068295,70.25504465988209,0.23710720306068295,17,20
70,0.23573854231085145,325.26056646889595,0.23573854231085145,15,20
71,0.23573854231085145,160.25984469269997,0.23573854231085145,15,20
72,0.23573854231085145,280.26121017774364,0.23573854231085145,14,20
73,0.23573854231085145,305.2548478858393,0.23573854231085145,11,20
74,0.2309185568317139,145.25206982457627,0.2309185568317139,14,20
75,0.2309185568317139,980.2568256381888,0.2309185568317139,12,20
76,0.2309185568317139,215.24915215824367,0.2309185568317139,16,20
77,0.2309185568317139,910.2516400082184,0.2309185568317139,12,20
78,0.2309185568317139,895.2508873389258,0.2309185568317139,12,20
79,0.2309185568317139,675.2527632946048,0.2309185568317139,9,20
80,0.22875679655074832,1425.2500649168253,0.22875679655074832,10,20
81,0.22875679655074832,195.2468044483481,0.22875679655074832,11,20
82,0.22875679655074832,105.2450069383372,0.22875679655074832,11,20
83,0.22603158209721805,625.2484143506061,0.22603158209721805,11,20
84,0.22603158209721805,510.2493026078702,0.22603158209721805,11,20
85,0.22603158209721805,565.2432615438883,0.22603158209721805,12,20
86,0.22603158209721805,175.24557953032962,0.22603158209721805,12,20
87,0.22603158209721805,165.2527677546687,0.22603158209721805,13,20
88,0.22184107677608156,500.24349716209156,0.22184107677608156,15,20
89,0.22184107677608156,180.24569615399463,0.22184107677608156,11,20
90,0.22184107677608156,1505.2469185360405,0.22184107677608156,10,20
91,0.22184107677608156,115.24187077726415,0.22184107677608156,15,20
92,0.22184107677608156,455.24846971018934,0.22184107677608156,12,20
93,0.22184107677608156,380.2421207087973,0.22184107677608156,16,20
94,0.22184107677608156,50.23599153631775,0.22184107677608156,18,20
95,0.22184107677608156,60.23685627766887,0.22184107677608156,14,20
96,0.22184107677608156,920.2437281297122,0.22184107677608156,11,20
97,0.21997243871944486,175.24122174650128,0.21997243871944486,16,20
98,0.21997243871944486,100.23865687135738,0.21997243871944486,14,20
99,0.21594307064182366,80.23489461214496,0.21594307064182366,14,20
100,0.21594307064182366,1205.23439751574,0.21594307064182366,13,20
