line_id,bar_1,bar_2,length_km,option_id,imax_A,r1_ohm_km,x1_ohm_km,cost_usd
LN000,SE_51,B1,0.562,0,150,0.3655,0.252,0
LN000,SE_51,B1,0.562,1,200,0.2921,0.2466,1686
LN000,SE_51,B1,0.562,2,250,0.2359,0.2402,2248
LN000,SE_51,B1,0.562,3,300,0.1932,0.2279,2810
LN000,SE_51,B1,0.562,4,600,0.0966,0.1201,5058
LN001,SE_51,B3,0.436,0,150,0.3655,0.252,0
LN001,SE_51,B3,0.436,1,200,0.2921,0.2466,1308
LN001,SE_51,B3,0.436,2,250,0.2359,0.2402,1744
LN001,SE_51,B3,0.436,3,300,0.1932,0.2279,2180
LN001,SE_51,B3,0.436,4,600,0.0966,0.1201,3924
LN002,B3,B4,0.624,0,150,0.3655,0.252,0
LN002,B3,B4,0.624,1,200,0.2921,0.2466,1872
LN002,B3,B4,0.624,2,250,0.2359,0.2402,2496
LN002,B3,B4,0.624,3,300,0.1932,0.2279,3120
LN002,B3,B4,0.624,4,600,0.0966,0.1201,5616
LN003,B4,B7,0.5,0,150,0.3655,0.252,0
LN003,B4,B7,0.5,1,200,0.2921,0.2466,1500
LN003,B4,B7,0.5,2,250,0.2359,0.2402,2000
LN003,B4,B7,0.5,3,300,0.1932,0.2279,2500
LN003,B4,B7,0.5,4,600,0.0966,0.1201,4500
LN004,B4,B5,0.624,0,150,0.3655,0.252,0
LN004,B4,B5,0.624,1,200,0.2921,0.2466,1872
LN004,B4,B5,0.624,2,250,0.2359,0.2402,2496
LN004,B4,B5,0.624,3,300,0.1932,0.2279,3120
LN004,B4,B5,0.624,4,600,0.0966,0.1201,5616
LN005,B7,B8,0.624,0,150,0.3655,0.252,0
LN005,B7,B8,0.624,1,200,0.2921,0.2466,1872
LN005,B7,B8,0.624,2,250,0.2359,0.2402,2496
LN005,B7,B8,0.624,3,300,0.1932,0.2279,3120
LN005,B7,B8,0.624,4,600,0.0966,0.1201,5616
LN006,B15,B16,0.5,0,150,0.3655,0.252,0
LN006,B15,B16,0.5,1,200,0.2921,0.2466,1500
LN006,B15,B16,0.5,2,250,0.2359,0.2402,2000
LN006,B15,B16,0.5,3,300,0.1932,0.2279,2500
LN006,B15,B16,0.5,4,600,0.0966,0.1201,4500
LN007,SE_52,B11,0.686,0,150,0.3655,0.252,0
LN007,SE_52,B11,0.686,1,200,0.2921,0.2466,2058
LN007,SE_52,B11,0.686,2,250,0.2359,0.2402,2744
LN007,SE_52,B11,0.686,3,300,0.1932,0.2279,3430
LN007,SE_52,B11,0.686,4,600,0.0966,0.1201,6174
LN008,B5,B6,0.624,0,150,0.3655,0.252,0
LN008,B5,B6,0.624,1,200,0.2921,0.2466,1872
LN008,B5,B6,0.624,2,250,0.2359,0.2402,2496
LN008,B5,B6,0.624,3,300,0.1932,0.2279,3120
LN008,B5,B6,0.624,4,600,0.0966,0.1201,5616
LN009,B1,B9,1.436,0,150,0.3655,0.252,0
LN009,B1,B9,1.436,1,200,0.2921,0.2466,4308
LN009,B1,B9,1.436,2,250,0.2359,0.2402,5744
LN009,B1,B9,1.436,3,300,0.1932,0.2279,7180
LN009,B1,B9,1.436,4,600,0.0966,0.1201,12924
LN010,B1,B2,0.75,0,150,0.3655,0.252,0
LN010,B1,B2,0.75,1,200,0.2921,0.2466,2250
LN010,B1,B2,0.75,2,250,0.2359,0.2402,3000
LN010,B1,B2,0.75,3,300,0.1932,0.2279,3750
LN010,B1,B2,0.75,4,600,0.0966,0.1201,6750
LN011,B9,B10,0.75,0,150,0.3655,0.252,0
LN011,B9,B10,0.75,1,200,0.2921,0.2466,2250
LN011,B9,B10,0.75,2,250,0.2359,0.2402,3000
LN011,B9,B10,0.75,3,300,0.1932,0.2279,3750
LN011,B9,B10,0.75,4,600,0.0966,0.1201,6750
LN012,SE_52,B14,0.562,0,150,0.3655,0.252,0
LN012,SE_52,B14,0.562,1,200,0.2921,0.2466,1686
LN012,SE_52,B14,0.562,2,250,0.2359,0.2402,2248
LN012,SE_52,B14,0.562,3,300,0.1932,0.2279,2810
LN012,SE_52,B14,0.562,4,600,0.0966,0.1201,5058
LN013,B14,B15,0.562,0,150,0.3655,0.252,0
LN013,B14,B15,0.562,1,200,0.2921,0.2466,1686
LN013,B14,B15,0.562,2,250,0.2359,0.2402,2248
LN013,B14,B15,0.562,3,300,0.1932,0.2279,2810
LN013,B14,B15,0.562,4,600,0.0966,0.1201,5058
LN014,B11,B12,0.624,0,150,0.3655,0.252,0
LN014,B11,B12,0.624,1,200,0.2921,0.2466,1872
LN014,B11,B12,0.624,2,250,0.2359,0.2402,2496
LN014,B11,B12,0.624,3,300,0.1932,0.2279,3120
LN014,B11,B12,0.624,4,600,0.0966,0.1201,5616
LN015,B12,B13,0.874,0,150,0.3655,0.252,0
LN015,B12,B13,0.874,1,200,0.2921,0.2466,2622
LN015,B12,B13,0.874,2,250,0.2359,0.2402,3496
LN015,B12,B13,0.874,3,300,0.1932,0.2279,4370
LN015,B12,B13,0.874,4,600,0.0966,0.1201,7866
LN016,B19,B20,0.624,1,150,0.3655,0.252,1248
LN016,B19,B20,0.624,2,200,0.2921,0.2466,1872
LN016,B19,B20,0.624,3,250,0.2359,0.2402,2496
LN016,B19,B20,0.624,4,300,0.1932,0.2279,3120
LN016,B19,B20,0.624,5,600,0.0966,0.1201,5616
LN017,B18,B19,0.5,1,150,0.3655,0.252,1000
LN017,B18,B19,0.5,2,200,0.2921,0.2466,1500
LN017,B18,B19,0.5,3,250,0.2359,0.2402,2000
LN017,B18,B19,0.5,4,300,0.1932,0.2279,2500
LN017,B18,B19,0.5,5,600,0.0966,0.1201,4500
LN018,B17,B18,0.812,1,150,0.3655,0.252,1624
LN018,B17,B18,0.812,2,200,0.2921,0.2466,2436
LN018,B17,B18,0.812,3,250,0.2359,0.2402,3248
LN018,B17,B18,0.812,4,300,0.1932,0.2279,4060
LN018,B17,B18,0.812,5,600,0.0966,0.1201,7308
LN019,B9,B17,0.86,1,150,0.3655,0.252,1720
LN019,B9,B17,0.86,2,200,0.2921,0.2466,2580
LN019,B9,B17,0.86,3,250,0.2359,0.2402,3440
LN019,B9,B17,0.86,4,300,0.1932,0.2279,4300
LN019,B9,B17,0.86,5,600,0.0966,0.1201,7740
LN020,B18,B21,0.624,1,150,0.3655,0.252,1248
LN020,B18,B21,0.624,2,200,0.2921,0.2466,1872
LN020,B18,B21,0.624,3,250,0.2359,0.2402,2496
LN020,B18,B21,0.624,4,300,0.1932,0.2279,3120
LN020,B18,B21,0.624,5,600,0.0966,0.1201,5616
LN021,SE_54,B21,0.5,1,150,0.3655,0.252,1000
LN021,SE_54,B21,0.5,2,200,0.2921,0.2466,1500
LN021,SE_54,B21,0.5,3,250,0.2359,0.2402,2000
LN021,SE_54,B21,0.5,4,300,0.1932,0.2279,2500
LN021,SE_54,B21,0.5,5,600,0.0966,0.1201,4500
LN022,SE_54,B22,0.75,1,150,0.3655,0.252,1500
LN022,SE_54,B22,0.75,2,200,0.2921,0.2466,2250
LN022,SE_54,B22,0.75,3,250,0.2359,0.2402,3000
LN022,SE_54,B22,0.75,4,300,0.1932,0.2279,3750
LN022,SE_54,B22,0.75,5,600,0.0966,0.1201,6750
LN023,B9,B22,0.936,1,150,0.3655,0.252,1872
LN023,B9,B22,0.936,2,200,0.2921,0.2466,2808
LN023,B9,B22,0.936,3,250,0.2359,0.2402,3744
LN023,B9,B22,0.936,4,300,0.1932,0.2279,4680
LN023,B9,B22,0.936,5,600,0.0966,0.1201,8424
LN024,B22,B23,0.686,1,150,0.3655,0.252,1372
LN024,B22,B23,0.686,2,200,0.2921,0.2466,2058
LN024,B22,B23,0.686,3,250,0.2359,0.2402,2744
LN024,B22,B23,0.686,4,300,0.1932,0.2279,3430
LN024,B22,B23,0.686,5,600,0.0966,0.1201,6174
LN025,B23,B24,0.562,1,150,0.3655,0.252,1124
LN025,B23,B24,0.562,2,200,0.2921,0.2466,1686
LN025,B23,B24,0.562,3,250,0.2359,0.2402,2248
LN025,B23,B24,0.562,4,300,0.1932,0.2279,2810
LN025,B23,B24,0.562,5,600,0.0966,0.1201,5058
LN026,B24,B25,0.436,1,150,0.3655,0.252,872
LN026,B24,B25,0.436,2,200,0.2921,0.2466,1308
LN026,B24,B25,0.436,3,250,0.2359,0.2402,1744
LN026,B24,B25,0.436,4,300,0.1932,0.2279,2180
LN026,B24,B25,0.436,5,600,0.0966,0.1201,3924
LN027,B25,B8,0.562,1,150,0.3655,0.252,1124
LN027,B25,B8,0.562,2,200,0.2921,0.2466,1686
LN027,B25,B8,0.562,3,250,0.2359,0.2402,2248
LN027,B25,B8,0.562,4,300,0.1932,0.2279,2810
LN027,B25,B8,0.562,5,600,0.0966,0.1201,5058
LN028,B8,B27,0.75,1,150,0.3655,0.252,1500
LN028,B8,B27,0.75,2,200,0.2921,0.2466,2250
LN028,B8,B27,0.75,3,250,0.2359,0.2402,3000
LN028,B8,B27,0.75,4,300,0.1932,0.2279,3750
LN028,B8,B27,0.75,5,600,0.0966,0.1201,6750
LN029,B27,B26,0.686,1,150,0.3655,0.252,1372
LN029,B27,B26,0.686,2,200,0.2921,0.2466,2058
LN029,B27,B26,0.686,3,250,0.2359,0.2402,2744
LN029,B27,B26,0.686,4,300,0.1932,0.2279,3430
LN029,B27,B26,0.686,5,600,0.0966,0.1201,6174
LN030,B27,B28,0.624,1,150,0.3655,0.252,1248
LN030,B27,B28,0.624,2,200,0.2921,0.2466,1872
